original	simplification	label
Seventh sons have strong `` Knacks''( specific magical abilities), and Seventh sons of Seventh sons are both extraordinarily rare and powerful.	Seventh sons have strong `` Knacks''( specific magical abilities), and Seventh sons of Seventh sons are both extraordinarily rare and powerful.	100.0
Computer performance is characterized by the amount of useful work accomplished by a computer system compared to the time and resources used.	He rowed across in a boat and discovered the Japanese submarine.	0.0
Robinson returned to West Point in 1972 to serve as the 3rd Regimental Tactical officer, where he was tasked with developing and training cadets.	Soon after, he released a cover version of Leo Sayer's When I Need You as a single, which reached number 5 in the British charts, as well as a follow up single called No Matter What I Do, which reached number 23.	0.0
Repeatedly besieged during the War of Restoration of Independence, it was during the siege of the city of Elvas, led by the Spanish commander Don Luis de Haro in 1658, that the fort stood out for its defenders' heroic resistance.	Repeatedly besieged during the War of Restoration of Independence, it was during the siege of the city of Elvas, led by the Spanish commander Don Luis de Haro in 1658, that the fort stood out for its defenders' heroic resistance.	100.0
The legs are wide at the top, and narrow at the ankle.	The first minaret was constructed in 665 in Basra during the reign of the Umayyad caliph Muawiyah I. Muawiyah encouraged the construction of minarets, as they were supposed to bring mosques on par with Christian churches with their bell towers.	0.0
Perry Saturn( with Terri) defeated Eddie Guerrero( with Chyna) to win the WWF European championship( 8:10) Saturn pinned Guerrero after a diving elbow drop.	Perry Saturn( with Terri) defeated Eddie Guerrero( with Chyna) to win the WWF European championship( 8:10) Saturn pinned Guerrero after a diving elbow drop.	100.0
The architecture of Winchester College is a diverse set of architectural styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and Early Modern periods, to a major expansion of accommodation in the Victorian era and then further extensions at the turn of the 20th century and more recently.	Winchester College was built in several architectural styles over its long history, beginning in 1382. Additions and extensions were made in the medieval and Early Modern periods, and then more additions in the Victorian era and again in the 20th century.	100.0
The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.	She first rose to prominence as an academic, barrister, campaigner and member of the Irish senate (1969 – 1989).	0.0
Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes. 	Bone has published several books, notably Fantastic Fungi Community Cookbook (2021). This book includes recipes from wild mushroom foragers, mycologists, and chefs who specialize in mushroom-based dishes.	100.0
In April 2000, Minix became free/ open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and Hobbyists.	In April 2000, Minix became free/ open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and Hobbyists.	100.0
Repeatedly besieged during the War of Restoration of Independence, it was during the siege of the city of Elvas, led by the Spanish commander Don Luis de Haro in 1658, that the fort stood out for its defenders' heroic resistance.	Repeatedly besieged during the War of Restoration of Independence, it was during the siege of the city of Elvas, led by the Spanish commander Don Luis de Haro in 1658, that the fort stood out for its defenders' heroic resistance.	100.0
This was demonstrated in the Miller-Urey experiment by Stanley L. Miller and Harold C. Urey in 1953.	This was shown in the Miller-Urey experiment by Harold C. L. Miller and Urey in 1953.	42.93333333
Jurisdiction draws its substance from public international law, conflict of laws, constitutional law and the powers of the executive and legislative branches of government to allocate resources to best serve the needs of its native society.	If you are reading this page it is possible that this has happened to your RfA.	0.0
The polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.	The polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.	100.0
Before Bankman-Fried's wealth eroded in November 2022, Bankman-Fried was a major donor to Democratic Party candidates.	Election The President of the Bundesrat usually is elected on the 1 November in a given year, and serves until the 31 October in the year that follows.	0.0
The quark model was independently proposed by physicists Murray Gell-Mann and George Zweig in 1964.	On October 16, 1990, the UN General Assembly decided to grant the ICRC observer status for its assembly sessions and sub-committee meetings, the first observer status given to a private organization.	0.0
The polymer is most often epoxy, but other polymers, such as polyester, vinyl ester or nylon, are also sometimes used.	Usually, it is used in some items like vinyl or ester.	20.93333333
Below are some useful links to facilitate your involvement.	Etymology Tirunelveli is also called Nellai.	0.0
He settled in London, devoting himself chiefly to practical teaching.	He had settled in London, devoting himself to practical.	42.4
Railway Gazette International is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.	Railway Gazette International is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.	100.0
Jeanne Marie-Madeleine Demessieux (February 13, 1921 November 11, 1968), was a French organist, pianist, composer, and pedagogue.	It was discovered from the images taken by Voyager 2 on January 20, 1986 and was given the temporary designation S / 1986 U 8.	0.0
Cogeneration (also combined heat and power, CHP) is the use of a heat engine or a power station to simultaneously generate both electricity and useful heat.	Legality Aid in dying is legal in several jurisdictions, including Belgium, the Netherlands, Switzerland and three American states.	0.0
After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.	After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.	100.0
Thereafter the county's administration was conducted at Duns or Lauder until Greenlaw became the county town in 1596.	Launched in 1994, InStyle currently has a circulation of 1.7 million.	0.0
New South Wales's largest city and capital is Sydney.	The capital city of location@3 is Sydney.	27.53333333
"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role."""	"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role."""	100.0
There he died six weeks later, on 13 January 888.	There he died six weeks later, on 13 January 888.	100.0
The wounds inflicted by a club are generally known as bludgeoning or blunt-force trauma injuries.	A borough is an administrative division of various countries.	0.0
The depression moved inland on the 20th as a circulation devoid of convection, and dissipated the next day over Brazil, where it caused heavy rains and flooding.	The depression moved inland on the 20th as a circulation devoid of convection.	58.06666667
The depression moved inland on the 20th as a circulation devoid of convection, and dissipated the next day over Brazil, where it caused heavy rains and flooding.	1268 - King Stephen V of Hungary launches a war against Bulgaria.	0.0
A Mutant is a type of fictional character that appears in comic books published by marvel Comics.	He discovered a number of asteroids, including notably the Trojan asteroids 617 Patroclus and 624 Hektor.	0.0
The historical method comprises the techniques and guidelines by which historians use primary sources and other evidence to research and then to write history.	The historical method is the arrangement and guidelines by which historians use main sources and other proof to research and then to write history.	80.86666667
ISBN 1-876429-14-3 is an historic township located near Cowra in the central west of New South Wales, Australia in Cabonne Shire.	ISBN 1-876429-14-3 is an historic township located near Cowra in the central west of New South Wales, Australia in Cabonne Shire.	100.0
Characteristics Radar observations indicate a fairly pure iron-nickel composition.	Regular season The Boston Bruins led the league in overall points with 110.	0.0
Schuschnigg immediately responded publicly that reports of riots were false.	He received the punishment of being forced to shoot an apple off the head of his son, Walter, or else both would be executed.	0.0
Santa Maria Maggiore (St. Mary the Greater), the earliest extant church in Assisi.	Santa Maria Maggiore (St. Mary the Greater), the earliest church in Assisi.	77.06666667
Johan was also the original Bassist of the Swedish power metal band Hammerfall, but quit before the band ever released a studio album.	It is probably a primitive body composed of carbonates.	0.0
"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role."""	It comprises the eastern half of the island of Timor, the nearby islands of Atauro and Jaco, and Oecussi-Ambeno, an exclave on the northwestern side of the island, within Indonesian West Timor.	0.0
The collapsed dome of the main church has been restored entirely.	The collapsed on top of the main church has been restored.	53.73333333
Jeanne Marie-Madeleine Demessieux( February 13, 1921 November 11, 1968), was a French organist, pianist, composer, and pedagogue.	John Paul Stevens (born April 20, 1920) is the senior Associate Justice of the Supreme Court of the United States.	0.0
There he had one daughter, later baptized as Mary Ann Fisher Power, to Ann (e) Power.	There he had one daughter, later baptized as Mary Ann Fisher Power, to Ann (e) Power.	100.0
Stands were eventually added behind each set of goals during the 1980s and 1990s as the ground began to be modernised.	Stands were eventually added behind each set of goals during the 1980s and 1990s as the ground began to be modernised.	100.0
Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.	Drummers playing a Sogo (a tiny drum that makes little sound) are followed by Elborately choreographed dancers.	92.375
Salem is a city in Essex County, Massachusetts, United States.	Salem is a city in the state of Massachusetts in the United States.	80.46666667
The area covered by the warning issued on September 22 was extended southwards as Jose intensified, before being canceled soon after Landfall on September 23.	The area covered by the warning on September 22, was also enlarged southwards as Jose intensified, before being canceled soon after Landfall on September 23.	86.06666666666666
The term gribble was originally assigned to the wood-boring species, especially the first species described from Norway by Rathke in 1799, Limnoria lignorum.	The term gribble was originally used for the wood-boring species, especially the first species described from Norway by Rathke in 1799, Limnoria lignorum.	97.33333333
This closely resembles the Unix philosophy of having multiple programs each doing one thing well and working together over universal interfaces.	Earth is the only place in the universe where life has been confirmed to exist.	0.0
The term dorsal refers to anatomical structures that are either situated toward or grow off that side of an animal.	The term dorsal refers to anatomical structures that are either situated toward or grow off that side of an animal.	100.0
Characteristics Radar observations indicate a fairly pure iron-nickel composition.	Characteristics Radar observations indicate a fairly pure iron-nickel composition.	100.0
In December, 1967, ten boom was honored as one of the righteous among the nations by the state of Israel.	"Hardy also cites ""burn out"" and the need for time off as reasons for leaving WWE."	0.0
There he had one daughter, later baptized as Mary Ann Fisher power, to Ann( E) power.	He had one daughter, who was baptized as Mary Ann Fisher power, to Ann (E) power.	29.294117647058822
This was absorbed into battalions being formed for XI International Brigade.	This was absorbed into battalions being formed for XI International Brigade.	100.0
It is derived from voice of America( VOA) special English.	It is derived from voice of America( VOA) special English.	96.26666666666667
It is derived from voice of America( VOA) special English.	The administration of the port is carried out by the Karachi Port Trust which was established in the nineteenth century.	0.0
Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.	N-Dubz are a MOBO award winning hip hop group from London, based around Camden Town.	0.0
Therefore, these PDFs can not be distributed without further manipulation if they contain images.	However, these PDFs cannot be found without further manipulation if they have images.	47.6
Prior to the arrival of the storm, the National Park service closed visitor centers and campgrounds along the outer banks.	Before the storm came, the park service closed the center and camps down	91.3
The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.	The last president to run after leaving office was Theodore Roosevelt.	100.0
After graduation he returned to Yerevan to teach at the local Conservatory and later he was appointed artistic director of the Armenian Philarmonic Orchestra.	There are also four stations, reserved for future service: Volokolamskaya of Tagansko-Krasnopresnenskaya line, Delovoi Tsentr of Kalininskaya and Solntsevskaya lines and Park Pobedy of Solntsevskaya line.	0.0
Jeanne Marie-Madeleine Demessieux (February 13, 1921 November 11, 1968), was a French organist, pianist, composer, and pedagogue.	It is theorized that they made up for this deficiency by regularly eating thiamine-rich soba.	0.0
Volunteers provided food, blankets, water, children's toys, massages, and a live rock band performance for those at the stadium.	Volunteers given food, blankets, water, children's toys, massages, and a live rock band return for those at the stadium.	46.26666667
In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.	The RPG-26 Aglen is a disposable anti-tank rocket launcher developed by the Soviet Union.	0.0
Furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and / or cares about.	Also, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and/ cares about it.	69.0625
The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.	They imposed a fine of $400, or $100 per count of fraud, and three years of supervised release following the prison sentence.	100.0
"Seventh sons have strong ""knacks"" (specific magical abilities), and seventh sons of seventh sons are both extraordinarily rare and powerful."	"His sons have strong ""knacks (specific magical abilities), and seventh sons of her sons are very rare and powerful."	36.86666667
The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.	Across the province, precipitation peaked at 5.9 inches (150 mm) at Whitbourne.	0.0
The body color varies from medium brown to gold-ish to beige-white; and occasionally, is marked with dark brown spots, especially on the limbs.	The body color varies from medium brown to gold-ish to beige-white; and occasionally, is marked with dark brown spots, especially on the limbs.	100.0
In April 2000, MINIX became free / open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and hobbyists.	In April 2000, MINIX became free / open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and hobbyists.	100.0
The Prime Minister stays in office only as long as he or she retains the support of the lower house.	The Prime Minister stays in office only as long as he or she retains the support of the lower house.	100.0
Their participation is limited until they reach legal adulthood.	After the mutiny Following the Indian Mutiny of 1857 - 58 and the consequent abolition of the East India Company, its European regiments were amalgamated in 1860 with the British Army, but its ‘ Native ’ regiments were not.	0.0
In its pure form, dextromethorphan occurs as a white powder.	The females have the unique ability to delay birth of their baby until their previous Joey has left the pouch.	0.0
The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.	Located in the Constitution Gardens, the reflecting pool is approximately 2,029 feet (618 m) long and 167 feet (51 m) wide.	0.0
Each version of the license is given a distinguishing version number.	Each version of the license is given a distinguishing version number.	100.0
Development Stable releases are rare, but there are often Subversion snapshots which are stable enough to use.	Development Stable releases are, but there are Subversion snapshots which are to use.	23.93333333
The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.	The Ukrainian nuclear energy agency stated that Russia was responsible for shelling that had harmed the infrastructure necessary for producing energy for Ukraine.	83.33333333333333
Ryan Prosser (born 10 July, 1988) is a professional rugby union player for Bristol Rugby in the Guinness Premiership.	Ryan Prosser (born 10 July, 1988) is a professional rugby union player for Bristol Rugby in the Guinness Premiership.	100.0
Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.	Chauvin was embarrassed to receive his award and initially indicated that he may not accept it.	100.0
Their eyes are quite small, and their visual acuity is poor.	Live at Wembley '86 is a double compact disc live album by English rock band Queen.	0.0
Their eyes are quite small, and their visual acuity is poor.	Their eyes are quite small, and their visual acuity is poor.	100.0
Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.	Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.	100.0
Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8:10) Saturn pinned Guerrero after a Diving elbow drop.	Luciano Spinosi (born May 9, 1950, Rome) is an Italian former football player.	0.0
There he had one daughter, later baptized as Mary Ann Fisher power, to Ann( E) power.	There he had one daughter, Mary Ann Fisher power, who was later married to Ann (E) power.	51.266666666666666
A Wikipedia gadget is a Javascript and/ or a CSS Snippet that can be enabled simply by checking an option in your Wikipedia preferences.	A Wikipedia gadget is a Javascript and/ or a CSS Snippet that can be enabled simply by checking an option in your Wikipedia preferences.	100.0
In April 2000, MINIX became free / open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and hobbyists.	The city is what later evolved to be the center of the Byzantine Empire (the Greek-speaking Roman Empire of late Antiquity and the Middle Ages) under the name of Constantinople.	0.0
Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.	ECW Background After World Wrestling Entertainment (WWE) bought all of Extreme Championship Wrestling (ECW)'s assets in 2003, the company began releasing DVDs promoting the original ECW.	0.0
"According to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles."	"According to an eyewitness, the shooter ""snapped,"" before shooting a woman. After that, he shot at least ten people in the grocery aisles before going into the break room."	58.0
Orchestration Stravinsky first conceived of writing the ballet in 1913.	Orchestration Stravinsky first conceived of writing the ballet in 1913.	100.0
His sentence was transportation to Australia for seven years.	A cafe and some other businesses largely occupy the location of the fort, and the rue Saint Antoine passes directly over it as it opens onto the roundabout of the Bastille.	0.0
The name survives as a brand for a related spin-off digital television channel, digital radio station, and website which have survived the demise of the printed magazine.	The name survives as a brand for a new digital television, digital radio station, and website which have survived the end of the printed magazine.	76.93333333
The tongue is sticky because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.	The sticky tongue is because of the presence of mucous glycoprotein-rich, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.	82.53333333
"Terms such as ""undies"" for underwear and ""movie"" for ""moving picture"" are oft-heard terms in English."	Celestus fowleri is a species of lizard in the Anguidae family.	0.0
The British decided to eliminate him and take the land by force.	The British decided to eliminate him and take the land by force.	100.0
Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.	Bergman stated that the film would be his last, and that afterwards he would focus on directing theatre.	0.0
Small value inductors can also be built on integrated circuits using the same processes that are used to make transistors.	The Secretary of State for Culture, Media and Sport is a United Kingdom cabinet position with responsibility for the Department for Culture, Media and Sport.	0.0
The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.	Ukraine's nuclear energy agency blamed Russia for the shelling that damaged the infrastructure required for Ukraine to resume energy production.	81.66666666666667
He is also a member of another Jungiery boyband 183 Club.	He is a member of Jungiery Boyband 183 club.	33.375
The quark model was independently proposed by physicists Murray Gell-Mann and George Zweig in 1964.	The fermions were discovered by physicists Murray Gell-Mann and George Zweig in 1964.	30.4
Each entry has a datum (a nugget of data) which is a copy of the datum in some backing store.	When South Africa became a republic in 1961, Pretoria remained its administrative capital.	0.0
For Rowling, this scene is important because it shows Harry's bravery, and by retrieving Cedric's corpse, he demonstrates selflessness and compassion.	For Rowling, this scene is important because it shows Harry's bravery, and by retrieving Cedric's corpse, he demonstrates selflessness and compassion.	100.0
Musk stated that Twitter Blue's pricing would be raised to around US$8.00 per-month, and include reduced advertising on the Twitter service, the ability to post longer audio and video files, and verified account status.	Musk said that Twitter Blue's price would increase to around US$8.00 per-month. He said it would  include less advertising on Twitter, the ability to post longer audio and video files, and verified account status.	90.33333333333333
Wario Land The Wario Land series is a platforming series that started with Wario Land: Super Mario Land 3, a spin-off of the Super Mario Land series.	Meowth land is a platform game made by organization@1 for the Super Nintendo Entertainment series.	23.93333333
The story of Christmas is based on the biblical accounts given in the Gospel of Matthew, namely - and the Gospel of Luke, specifically -.	The story of Christmas is based on the biblical accounts given in the Gospel of Matthew, namely - and the Gospel of Luke, specifically -.	100.0
The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.	The film received positive reviews from critics, with praise towards Coogler's direction, the action sequences, production and costume design, the cast's performances (particularly those of Wright, Gurira, Huerta, and Bassett), emotional weight, musical score, and its tributes to Boseman, although the runtime received some criticism.	100.0
"On November 5, 2022, FIFA sent out a letter to all participating nations telling them to cease and avoid any further or current discussion of Qatar's poor human rights records to ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"" and to ""focus on the football."""	"On November 5, 2022, FIFA sent out a letter to all participating nations telling them to cease and avoid any further or current discussion of Qatar's poor human rights records to ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"" and to ""focus on the football."""	100.0
A fee is the price one pays as remuneration for services, especially the honorarium paid to a doctor, lawyer, consultant, or other member of a learned profession.	In 1967, he became chairman of the SPD fraction in the Landtag, and in 1970 Minister of Science and Education in the cabinet of Minister President Heinz Kühn.	0.0
Railway Gazette International is a monthly business Journal covering the railway, Metro, light rail and Tram Industries worldwide.	Railway Gazette International is a monthly business Journal covering the railway, Metro, light rail and Tram Industries worldwide.	100.0
There is general acknowledgment among the mediators, as well as some outside observers, that this agreement represents a step towards peace, but that true peace had yet to be fully realized.	There is general acknowledgment among the mediators, as well as some outside observers, that this agreement represents a step towards peace, but that true peace had yet to be fully realized.	100.0
Bankers from ShoreBank, a community development bank in Chicago, helped Yunus with the official incorporation of the bank under a grant from the Ford Foundation.	Bankers from ShoreBank, a community development bank in Chicago, helped Yunus with the government saying that the Bank was independent from the Ford Foundation.	42.0
From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium, large hospital and library complexes, and two residence halls.	From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium, large hospital and library complexes, and two residence halls.	100.0
Perry Saturn( with Terri) defeated Eddie Guerrero( with Chyna) to win the WWF European championship( 8:10) Saturn pinned Guerrero after a diving elbow drop.	Pontedera is an Italian industrial town in Tuscany, Italy, in the administrative province of Pisa.	0.0
The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.	External links On a Fad Diet of Rock Dust, How the Garden Does Grow Henry Homeyer, June 24, 2004, New York Times.	0.0
"Pauline returned in the Game Boy remake of Donkey Kong in 1994, and later Mario vs. Donkey Kong 2: March of the Minis in 2006, although the character is now described as ""Mario's friend""."	Pauline returned in the game boy game donkey Kong in 1994, and later Mario vs. donkey Kong 2: March of the Minis in 2006.	88.25
His sentence was transportation to Australia for seven years.	His sentence was transportation to Australia for seven years.	100.0
Together they formed new music Manchester, a group committed to contemporary music.	Originally it was a part of the earldom of Bentheim, before it became independent in 1454.	0.0
The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.	The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.	100.0
The sitcom series features the story of Abi (played by Bolu Essien) who secures a job at a top advertising agency in Lagos, although she had a rough start with her superior, she soon got an opportunity to shine at work when she was promoted to become the acting manager after the manager traveled to another branch.	The sitcom series is about the story of Abi who gets a job at a top ad agency in Lagos. Though she has a rough start with her superior, she gets a chance to shine at work when she is promoted to acting manager. This happens because her manager travels to another branch.	100.0
The largest populations of Mennonites are in Canada, Democratic Republic of Congo and the United States, but Mennonites can also be found in tight-knit communities in at least 51 countries on six continents or scattered amongst the populace of those countries.	Although they were officially designated to study just Jupiter and Saturn, the two probes were able to continue their mission into the outer solar system.	0.0
The sitcom series features the story of Abi (played by Bolu Essien) who secures a job at a top advertising agency in Lagos, although she had a rough start with her superior, she soon got an opportunity to shine at work when she was promoted to become the acting manager after the manager traveled to another branch.	The sitcom series features the story of Abi (played by Bolu Essien) who secures a job at a top advertising agency in Lagos, although she had a rough start with her superior, she soon got an opportunity to shine at work when she was promoted to become the acting manager after the manager traveled to another branch.	100.0
West Berlin had its own postal administration, separate from West Germany's, which issued its own postage stamps until 1990.	West Berlin had its own postal administration, separate from West Germany's, which issued its own postage stamps until 1990.	100.0
Development Stable releases are rare, but there are often Subversion snapshots which are stable enough to use.	It also featured original ECW talent.	0.0
Prior to the arrival of the storm, the National Park service closed visitor centers and campgrounds along the outer banks.	The park has become a traditional location for mass demonstrations.	0.0
Vouvray-sur-Huisne is a commune in the Sarthe department in the region of Pays-de-la-Loire in northwestern France.	In 1983 Moyet and Clarke decided to disband Yazoo.	0.0
Fives is a British sport believed to derive from the same origins as many racquet sports.	Fives is a British sport. It comes from the same origin as many Racquet sports.	55.55
No skater has yet accomplished a quadruple Axel in competition.	No skater has yet accomplished a quadruple Axel in competition.	100.0
An activist hiding his identity said the Egyptian authorities were carrying out random detentions ahead of COP, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.	An activist said the Egyptian government was doing random phone searches ahead of a climate change conference. During the search, they were looking for any evidence of dispute with the government.	69.0
Iain grieve( born 19 February, 1987 in Jwaneng, Botswana) is a Rugby Union Back-Rower for Bristol Rugby in the Guinness Premiership.	While the weight of matter is entirely dependent upon the strength of gravity, the mass of matter is invariant.	0.0
The sitcom series features the story of Abi (played by Bolu Essien) who secures a job at a top advertising agency in Lagos, although she had a rough start with her superior, she soon got an opportunity to shine at work when she was promoted to become the acting manager after the manager traveled to another branch.	However, Twofish has seen less widespread usage than Blowfish, which has been available for a longer period of time.	0.0
However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.	Its elongation led to the suggestion that Eunomia may be a binary object.	0.0
After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.	Adam Smith, a graduate student of the college, is perhaps its best known alumnus.	0.0
Brunstad has several fast food restaurants, a cafeteria-style restaurant, coffee bar, and its own grocery store.	Brunstad has food restaurants, coffee, a restaurant Cafeteria-Style bar, and its grocery store.	77.71428571428571
United began seeking legal action over whether Ronaldo had breached his contract and was looking to terminate his contract.	Preparations were pushed ahead for an armed revolt, and he was made commandant of the Third Battalion and adjutant of the Dublin Brigade.	0.0
Defiantly, she vowed to never renounce the commune, and dared the judges to sentence her to death.	Her active repertoire spans from Bach to Penderecki, from Vivaldi to Shostakovitch, containing over 40 works with orchestra and about 60 works of chamber music.	0.0
