document	simplification	labels
Disney received a full-size Oscar statuette and seven miniature ones, presented to him by 10-year-old child actress Shirley Temple.	Disney received a full-size Oscar statuette and seven miniature ones. She was given to him by 10 - year old child actress Shirley Temple.	0.652
He settled in London, devoting himself chiefly to practical teaching.	He had settled in London, devoting himself to practical.	0.6113333333
The SAT Reasoning Test (formerly Scholastic Aptitude Test and Scholastic Assessment Test) is a standardized test for college admissions in the United States.	The SAT Reasoning Test (Scholastic Aptitude Test and Scholastic Assessment Test) is a test for college admissions in the United States.	0.9093333333
On November 9, Fetterman was projected as the winner of the election by media outlets.	On November 9, Fetterman was predicted by the media as the winner of the election.	1.0
The term gribble was originally assigned to the wood-boring species, especially the first species described from Norway by Rathke in 1799, Limnoria lignorum.	The term gribble was originally used for the wood-boring species, especially the first species described from Norway by Rathke in 1799, Limnoria lignorum.	0.9440000000000001
On 3 November 2022, the British Foreign Secretary James Cleverly announced that the UK and Mauritius had decided to begin negotiations on sovereignty over the British Indian Ocean Territory, taking into account the recent international legal proceedings.	On 3 November 2022, the British Foreign Secretary James Cleverly declared that Mauritius and the UK would begin talks to discuss control over the British Indian Ocean Territory. This was taking into account the recent international legal proceedings.	0.9766666666666667
The apostolic tradition, attributed to the theologian Hippolytus, attests the singing of Hallel Psalms with Alleluia as the refrain in early Christian Agape feasts.	: the apostolic tradition, attributed to the theologian Hippolytus, cites of Hallel Psalms with Alleluia as the refrain in early Christian Agape feasts.	0.958
"A historian has stated that ""it was quinine's efficacy that gave colonists fresh opportunities to swarm into the Gold Coast, Nigeria and other parts of west Africa""."	"A historian has stated that ""it was quinine's efficacy that gave colonists fresh opportunities to swarm into the Gold Nigeria coast, and other parts of west Africa""."	0.7979999999999999
Both names became defunct in 2007 when they were merged into The National Museum of Scotland.	The National Museum of Scotland was opened in 2007.	0.9793333332999999
The legs are wide at the top, and narrow at the ankle.	The legs are, and.	0.1033333333
England are the reigning T20 World Cup holders, having beaten Pakistan in the 2022 final, winning their second title.	England beat Pakistan in the 2022 final. This made them the T20 World Cup holders, winning their second title.	0.7233333333333333
Some articles are quite lengthy and rich in content while others are shorter (possibly stubs) and of lesser quality.	Some articles are very long and rich in content. Other articles are shorter and of lesser quality.	0.9726666667
On the fifth day of flight, November 20, 2022, at 19:09 UTC, the Orion spacecraft entered the Lunar sphere of influence, thus the Moon's gravitational force became stronger than Earth's relative to the spacecraft.	On November 20, 2022 at 19:09 UTC, the Orion spacecraft began to be affected by the Moon's gravity, since it had entered the Moon's sphere of influence.	0.7566666666666667
In April 2000, MINIX became free / open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and hobbyists.	In April 2000, Minix became free/ open source software. in April 2000, Minix became free source software under a permissive free software licence, but by this time other operating systems.	0.9205714285714286
Out of 16,421 participants in the national casting, she was chosen among the 15 candidates to appear on the TV show.	Out of 16,421 people living in the national casting, she was chosen among the 15 people to appear on the TV show.	0.75
The Supreme Court of the United Kingdom unanimously denies the Scottish government the right to hold a second referendum on Scottish independence from the United Kingdom without approval from the British government.	The Supreme Court of the United Kingdom ruled that the Scottish government could not hold another referendum on Scottish independence from the United Kingdom without approval from the British government.	0.7133333333333333
The pad called for the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej and Somchai Wongsawat, whom the pad accused of being proxies for Thaksin.	The pad demanded the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej, and Somchai Wongsawat.	0.9626666666666667
Thereafter the county's administration was conducted at Duns or Lauder until Greenlaw became the county town in 1596.	After that, the county offices were at Duns or Lauder. In 1596 they moved to Greenlaw.	0.885
The sat reasoning test( formerly scholastic aptitude test and scholastic assessment test) is a standardized test for college admissions in the United States.	The sat reasoning test (formerly scholastic test and scholastic assessment test) is a standardized	0.4675
The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.	The last president to run after leaving office was Theodore Roosevelt, who ran in the 1912 election and came in second. Herbert Hoover, the President of the United States, tried to run for president several times after leaving office, but he was not chosen by the Republican Party.	0.92
After the Jerilderie raid, the gang laid low for 16 months evading capture.	After the Jerilderie raid, the gang moved to the city for 16 months.	0.927142857142857
Following the drummers are dancers, who often play the Sogo( a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.	After the drummers are dancers, who often play the Sogo (a small drum that makes almost no sound). They are often seen as a group of people in the group.	0.556
Military career Donaldson enlisted in the Australian Army on 18 June 2002.	He was born in location@1, location@2.	0.32533333329999997
Their participation is limited until they reach legal adulthood.	Their role is limited as long as they meet legal adult.	0.5686666667
If there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets it was intended to avoid.	If there are no strong land use controls, buildings are built along a bypass, through it into an ordinary town road, and the cross may soon become as congested as the local streets it was intended to avoid.	0.5826666667
The apostolic tradition, attributed to the theologian Hippolytus, attests the singing of Hallel Psalms with Alleluia as the refrain in early Christian Agape feasts.	It is about the singing of Hallel Psalms with	0.11466666666666667
Alternative views on the subject have been proposed throughout the centuries (see below), but all were rejected by mainstream Christian bodies.	Journal of the subject has been created in the centuries, but all were rejected by mainstream Christian bodies.	0.4686666667
Santa Maria Maggiore (St. Mary the Greater), the earliest extant church in Assisi.	Santa Maria Maggiore, (St. Mary greater), the earliest church in Assisi.	0.6246666667
Below are some useful links to facilitate your involvement.	Here are some useful links to help your role.	0.9286666667
"Terms such as ""undies"" for underwear and ""movie"" for ""moving picture"" are oft-heard terms in English."	"Terms such as the"" Undies"" in English for underwear and"" Undies"" movie style are oft-heard terms in English."	0.536
The book is illustrated with more than 200 newly commissioned color photographs by the British architectural photographer Morley von Sternberg, as well as older images where needed to illustrate buildings that have been significantly altered or demolished.	More than 200 brand-new, colored photographs have been taken by British architectural photographer Morley von Sternberg for this book. Additionally, older images have been used to show buildings that have changed or been destroyed.	0.9033333333333333
Both names became defunct in 2007 when they were merged into the National museum of Scotland.	Both names stopped existing in 2007, when they were merged into the National museum of Scotland.	0.9545714285714285
Salem is a city in Essex County, Massachusetts, United States.	Salem is a city in the state of Massachusetts in the United States.	0.9106666667000001
The collapsed dome of the main church has been restored entirely.	The dome has been restored.	0.932
Their eyes are quite small, and their visual Acuity is poor.	Their eyes are very small and they do not see well.	0.9973333333333333
The crosier symbolises the monasteries of the region.	The crosier symbolises the monasteries.	0.888
The four canonical texts are the Gospel of Matthew, Gospel of Mark, Gospel of Luke and Gospel of John, probably written between AD 65 and 100 (see also the Gospel according to the Hebrews).	Gospel of Luke and Gospel of John.	0.68
Their eyes are quite small, and their visual acuity is poor.	Their eyes are very small and they do not see well.	0.8540000000000001
"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then."	"Musk also said he would create a ""content moderation council"" with people with different views to decide how the platform should handle free speech. He said he would not make any major content decisions or changes until then."	1.0
The plant is considered a living fossil.	The plant is considered a living fossil.	0.6506666666666666
"Described as a darkly comedic bio-pic, Emilia Jones was confirmed to be portraying the whistle-blower Reality Winner from a script written by Kerry Howley based on her own 2017 New York Magazine feature, ""Who Is Reality Winner?"" with Fogel also on board to direct."	"Emilia Jones has been cast to play the role of whistle-blower Reality Winner in a dark comedy biopic. Kerry Howley wrote the script based on her own 2017 New York Magazine feature ""Who Is Reality Winner?"" and Fogel is directing the film."	0.87
The equilibrium price for a certain type of labor is the wage.	The price of balance for some type of work is the wage.	0.7226666667
"Plot Captain Caleb Holt (Kirk Cameron) is a firefighter in Albany, Georgia and firmly keeps the cardinal rule of all firemen, ""Never leave your partner behind""."	Captain Caleb Holt (Kirk Cameron) is a Georgia firefighter and firmly believes in never leaving your partner behind.	0.9866666666666667
After the Jerilderie raid, the gang laid low for 16 months evading capture.	, the gang laid low for 16 months evading capture.	0.706
Google subsequently made the comic available on Google Books and their site and mentioned it on its official blog along with an explanation for the early release.	Google then made the comic available on Google Books and their site and said it on its official blog as well as a reason for the early release.	0.626
The plant is considered a living fossil.	The plant is thought to be a living	0.20866666666666667
Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.	Before the 2022 FIFA World Cup, Qatar was accused of hiring paid actors to act as fans at the tournament to promote the country.	0.9833333333333333
These ideally provide excellent habitat for chinkara, hog deer and blue bull.	These use for chinkara, hog deer and blue bull.	0.36866666670000003
Events Europe July 29 — battle of Stiklestad( Norway): Olav Haraldsson loses to his Pagan Vassals and is killed in the battle.	The battle of Stiklestad (Norway) took place on July 29. Olav Haraldsson lost to his Pagan Vassals. He was killed in battle.	0.9385714285714286
Today NRC is organised as an independent, private foundation.	Today, NRC is managed as an independent and private company.	0.5194117647058824
The PAD called for the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej and Somchai Wongsawat, whom the PAD accused of being proxies for Thaksin.	The pad demanded the resignation of the governments of Thaksin Shinawatra, Samak Sundaravej, and Somchai Wongsawat.	0.9513333333333334
"In a short video promoting the charity Equality Now Joss Whedon confirmed that ""Fray is not done, Fray is coming back."	In a short Video promoting the charity equality now JOS Whedon confirmed that fray is not done.	0.97125
Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.	Days before the start of the 2022 FIFA World Cup, Qatar was accused of having paid actors to play the role of fans at the tournament in order to promote the country.	0.93
Roof tiles dating back to the Tang Dynasty with this symbol have been found west of the ancient city of Chang'an (modern-day Xian).	Roof tiles dating have been found this symbol of the city of Chang '.	0.41200000000000003
The Ukrainian nuclear energy agency said that Russia was responsible for the shelling, which they claimed had damaged exactly the infrastructure needed to restore energy production for Ukrainian needs.	The Ukrainian nuclear energy agency said that Russia was responsible for the attack. They said the attack had damaged the energy production infrastructure needed to restore production.	0.92
Stands were eventually added behind each set of goals during the 1980s and 1990s as the ground began to be modernised.	Stands were added the ground began to be modernised.	0.4426666667
He is also a member of another Jungiery boyband 183 Club.	He is a member of Jungiery Boyband 183 club.	0.234375
There is general acknowledgment among the mediators, as well as some outside observers, that this agreement represents a step towards peace, but that true peace had yet to be fully realized.	Mediators and outside observers agree this agreement is a move towards peace, but true peace still has not been reached.	1.0
He died on May 29, 1518 in Madrid, Spain and was buried in the Church of San Benito D'Alcantara.	He died, and was buried`.	0.7353333333333333
The form of chess played is speed chess in which each competitor has a total of twelve minutes for the whole game.	The form of chess played is speed chess in which each competitor has a total of twelve minutes.	0.8426666667
He advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline.	He stands for applying a user-centered design process in product development cycles, and also works for making interaction design as a mainstream discipline.	0.65
The largest populations of Mennonites are in Canada, Democratic Republic of Congo and the United States, but Mennonites can also be found in tight-knit communities in at least 51 countries on six continents or scattered amongst the populace of those countries.	The largest populations of Mennonites are in Canada, Democratic Republic of Congo and the United States.	0.9079999999999999
About 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.	About 80 percent of buildings in the area were rebuilt or changed after the 1999 earthquake. This made the 1999 earthquake less bad.	0.5066666666666666
MacGruber starts asking for simple objects to make something to defuse the bomb, but he is later distracted by something (usually involving his personal life) that makes him run out of time.	Macgruber starts ask for simple things to make a point to turn off the bomb, but he's later held by one thing (usually based on his own life) that makes him run out of time.	0.14882352941176472
It was discovered by Stephen P. Synnott in images from the Voyager 1 space probe taken on March 5, 1979 while orbiting around Jupiter.	The discovery was made by Stephen P. Synott. The images where taken from the Voyager 1 space probe on March 5, 1979 in orbit.	0.306
It is not actually a true louse.	It is not a louse.	0.6158823529411764
Divided into sections pertaining to each season and covering self-reliance, growing and gardening, cooking, health and beauty, and wilderness, and with photos and illustrations evocative of the great outdoors, A Wilder Life shows that getting in touch with nature is possible.	A Wilder Life is divided into sections that cover self-reliance, growing and gardening, cooking, health and beauty, and wilderness. It has photos and illustrations that bring to life the great outdoors, and shows that connecting with nature is possible.	1.0
In the Soviet years, the Bolsheviks demolished two of Rostov's principal landmarks - St Alexander Nevsky Cathedral (1908) and St George Cathedral in Nakhichevan (1783-1807).	, the two Bolsheviks demolished and 1783-1807).	0.254
Gable also earned an Academy Award nomination when he portrayed Fletcher Christian in 1935's Mutiny on the Bounty.	Gable earned an Academy Award nomination he portrayed Fletcher Christian.	0.6679999999999999
Musk stated that Twitter Blue's pricing would be raised to around US$8.00 per-month, and include reduced advertising on the Twitter service, the ability to post longer audio and video files, and verified account status.	Musk said that Twitter Blue's price would increase to around US$8.00 per-month. He said it would  include less advertising on Twitter, the ability to post longer audio and video files, and verified account status.	0.9033333333333333
The film has grossed over $552 million worldwide, becoming the eighth highest-grossing film of 2022.	The film earned over $552 million globally, making it the eighth most successful movie of 2022.	0.9766666666666667
The collapsed dome of the main church has been restored entirely.	The collapsed on top of the main church has been restored.	0.6093333333000001
Events Europe July 29 — Battle of Stiklestad (Norway): Olav Haraldsson loses to his pagan vassals and is killed in the battle.	In the battle of July 29, the battle of Stiklestad (Norway): Olav Haraldsson Haraldsson (.),. Haraldsson (.),. Haraldsson (.),. Haraldsson (.),. Haraldsson (.),. (.),. (.), and is loses (..) (.),	0.8813333333333334
In approximate relation to the parties' respective strength in the Federal Assembly, the seats were distributed as follows: Free Democratic Party (FDP): 2 members, Christian Democratic People's Party (CVP): 2 members, Social Democratic Party (SP): 2 members, and Swiss People's Party (SVP): 1 member.	In this case, there were two members, Christian Democratic People's Party (CVP): 2 members, Social Democratic Party (SP): 2 members, Swiss People's Party (SVP): 2 members, Social Democratic Party (SP): 2 members, and Swiss People's Party (SVP): 1 member.	0.5386666667
Repeatedly besieged during the War of Restoration of Independence, it was during the siege of the city of Elvas, led by the Spanish commander Don Luis de Haro in 1658, that the fort stood out for its defenders' heroic resistance.	The city of Elvas was besieged multiple times during the War of Restoration of Independence, but in 1658 Don Luis de Haro led a particularly memorable siege. The fort was particularly noted for its heroic defenders who successfully defended the area.	1.0
Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.	Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile attacks. The city of Lviv has experienced a total blackout.	0.9166666666666667
This was substantially complete when Messiaen died, and Yvonne Loriod undertook the final movement's orchestration with advice from George Benjamin.	This was nearly finished when Messiaen died, and Yvonne Loriod orchestrated the last movement with advice from George Benjamin.	0.39666666666666667
Drone footage released by the Islamic State showed bombs being dropped on an ammunitions facility located in Deir ez-Zor, Syria, an area of contested control between the Islamic State and the Syrian government at the time.	Drone footage released by the Islamic State showed bombs being dropped on an ammunition store in Deir ez-Zor, Syria. This area was being fought over by the Islamic State and the Syrian government when the attack occurred.	0.7266666666666667
The Prime Minister stays in office only as long as he or she retains the support of the lower house.	The Prime Minister remains in office as long as the lower house is in favor.	0.934
The last president to run after leaving office was Theodore Roosevelt, who came in second in the 1912 election as the presidential nominee of the Progressive Party, although Herbert Hoover did briefly seek the Republican presidential nomination at several national conventions subsequent to leaving office in 1933.	The last president to run after leaving office was Theodore Roosevelt.	1.0
Santa Maria Maggiore (St. Mary the Greater), the earliest extant church in Assisi.	Santa Maria Maggiore (St. Mary the Greater), the.	0.2273333333
In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.	In their first match of the tournament, they beat a highly favored Argentine team 2-1, ending their unbeaten streak that had lasted 36 games since 2019.	0.84
The area covered by the warning issued on September 22 was extended southwards as Jose intensified, before being canceled soon after landfall on September 23.	The area covered by the warning issued on September 22 was extended southwards as Jose strengthened, before being cancelled soon after Landfall on September 23.	0.9506666666666667
Each entry has a datum( a Nugget of data) which is a copy of the datum in some backing store.	There is a copy of each datum entry in some backing store.	0.6947058823529412
Hinterrhein is an administrative district in the canton of Graubünden, Switzerland.	Hinterrhein is a district of the canton of Graubünden in Switzerland.	0.8613333333
They are castrated so that the animal may be more docile or may put on weight more quickly.	They are castrated so that the animal can be more docile is put on weight more quickly.	0.5926666667
He bolted from Sydney Cove several times before being shot dead in 1796.	He moved from Sydney Cove several times before being shot dead in 1796.	0.8786666667
A bastion on the eastern approaches was built later.	A defense on the Eastern side was built later.	0.9035294117647059
Mercury is similar in appearance to the moon: it is heavily cratered with regions of smooth Plains, has no natural satellites and no substantial atmosphere.	Mercury looks like our moon. It has cratered areas and smooth ones. It has no real atmosphere. It has no natural satellites.	0.5194117647058824
After the Jerilderie raid, the gang laid low for 16 months evading capture.	, the gang laid low for 16 months evading capture.	0.6153333333333333
Nasepia has an appearance similar to that of most other Erniettomorphs from Namibia, with it having a leaf-like body with thin ribs and spindle-shaped bodies, however it differentiates itself from other taxa such as Pteridinium and Rangea in the sense that it has smaller petaloids and with the configuration of the ribs being sub-parallel to its axis.	Nasepia looks similar to other types of fossils from Namibia, with a leaf-like body, thin ribs, and rod shaped bodies. However, it is different from other similar fossil classes because it has smaller petals and a different rib configuration.	0.6733333333333333
The fourth ring is decorated with golden garlands and was added in 1938 39 when the column was moved to its present location.	When the column was moved to its present location during 1938 and the following year, the fourth ring, decorated with golden Garlands, was added.	0.853125
Geography The town lies in the Limmat valley between Baden and Zürich.	The land the city lies in the Limmat valley between Baden and Zürich.	0.562
In April 2000, MINIX became free / open source software under a permissive free software licence, but by this time other operating systems had surpassed its capabilities, and it remained primarily an operating system for students and hobbyists.	In April 2000, MINIX became free / open source software under a permissive free software licence, but by this time other operating systems had become more important than the operating system for students and hobbyists.	0.9279999999999999
Iain grieve( born 19 February, 1987 in Jwaneng, Botswana) is a Rugby Union Back-Rower for Bristol Rugby in the Guinness Premiership.	Iain grieve( February born 19, 1987 in Jwaneng, Botswana) is a union Back-Rower in the Guinness Premiership.	0.5053333333333333
The tongue is sticky because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.	The tongue is sticky because of the presence of mucous and glycoprotein-rich mucous. These are both lubricates movement in and out of the snout and helps to catch ants and termites.	0.6926666667000001
"However, upon Flynn's apparent success in securing sufficient backing to become council president, Arroyo released a statement that acted as an informal concession of sorts, giving strong praise to Flynn's kindness and work ethic, and declaring that he looked forward, ""to seeing how he utilizes those great qualities in this leadership role."""	When it was clear Flynn was going to be council president, Arroyo gave a concession speech. He praised Flynn’s good qualities and said that he wants to see Flynn use these qualities while president.	0.7666666666666667
A bastion on the Eastern approaches was built later.	A defense on the Eastern side was built later.	0.10266666666666667
"Described as a darkly comedic bio-pic, Emilia Jones was confirmed to be portraying the whistle-blower Reality Winner from a script written by Kerry Howley based on her own 2017 New York Magazine feature, ""Who Is Reality Winner?"" with Fogel also on board to direct."	"Emilia Jones will play the whistle-blower Reality Winner from a script written by Kerry Howley. It is based on her own feature, ""Who Is Reality Winner?"" and Fogel will direct."	0.8833333333333333
In addition to farming, Corbin has expanded his business to include agritourism, using his farm to host weddings, host corporate meetings, and attract visitors to a large annual Christmas-themed display.	"As well as farming, Corbin has started a small business called ""Agritourism"". He uses his farm to host weddings, business meetings, and a big Christmas display every year."	0.9233333333333333
Some reports read that various factors increase the likelihood of both paralysis and hallucinations.	Some reports read that a number of factors increase the risk of both stay and delusions.	0.7046666667
Railway Gazette International is a monthly business Journal covering the railway, Metro, light rail and Tram Industries worldwide.	Railway Gazette International is an international business company. It has Metro, light rail and Tram industries.	0.8320000000000001
Drone footage released by the Islamic State showed bombs being dropped on an ammunitions facility located in Deir ez-Zor, Syria, an area of contested control between the Islamic State and the Syrian government at the time.	Drone video from the Islamic State showed bombs being dropped on a bullet/rocket storage in a contested part of Syria.	0.8733333333333333
In its pure form, dextromethorphan occurs as a white powder.	Pure Dextromethorphan is a white powder.	0.8078571428571429
Bankers from ShoreBank, a community development bank in Chicago, helped Yunus with the official incorporation of the bank under a grant from the Ford Foundation.	Bankers from ShoreBank, a community development bank in Chicago, helped Yunus with the government saying that the Bank was independent from the Ford Foundation.	0.8333333333
The sat reasoning test( formerly scholastic aptitude test and scholastic assessment test) is a standardized test for college admissions in the United States.	The sat reasoning test( formerly scholastic test and scholastic assessment test) is a standardized	0.20466666666666666
It continues as the Bohemian Switzerland in the Czech Republic.	It continues.	0.8773333333
The New York City Housing Authority Police Department was a law enforcement agency in New York City that existed from 1952 to 1995.	The new city York Housing Authority Police Department was a law enforcement agency that existed.	0.6606666667000001
A few animals have chromatic response, changing color in changing environments, either seasonally (ermine, snowshoe hare) or far more rapidly with chromatophores in their integument (the cephalopod family).	Animals have a response, changing color, either ermine snowshoe, or hare).	0.496
Moderate to severe damage extended up the Atlantic coastline and as far Inland as West Virginia.	Moderate to bad damage reached the Atlantic coastline and as far as West Virginia.	0.88
The Apostolic Tradition, attributed to the theologian Hippolytus, attests the singing of Hallel psalms with Alleluia as the refrain in early Christian agape feasts.	: the apostolic tradition, attributed to the theologian Hippolytus, cites of Hallel Psalms with Alleluia as the refrain in early Christian Agape feasts.	0.6525
Seventy-Five Defencemen are in the hall of fame, more than any other current position, while only 35 Goaltenders have been inducted.	Seventy-Five Defencemen are in the hall of fame, more than any other current position. only 35 Goaltenders have been added.	0.9073333333333333
The Prime Minister stays in office only as long as he or she retains the support of the lower house.	The Prime Minister stays in office he or she retains the support.	0.72
From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium, large hospital and library complexes, and two residence halls.	From 1900 to 1920 many new plants were built on campus, such as sites for the dental and pharmacy programs, a chemistry building, a building for the natural science, Hill Hall, large hospital and library complex, and the two Home halls.	0.7913333333
From 1900 to 1920 many new facilities were constructed on campus, including facilities for the dental and pharmacy programs, a chemistry building, a building for the natural sciences, Hill Auditorium, large hospital and library complexes, and two residence halls.	From 1900 to 1920 new facilities were constructed on campus including both dental and Pharmacy programs, a chemistry building, building for natural sciences, Hill auditorium, large hospital and library complexes as well as two residence halls.	0.615
Prior to the arrival of the storm, the National Park Service closed visitor centers and campgrounds along the Outer Banks.	Before the storm came, the park service closed the center and camps down	0.3514285714285715
Jeanne Marie-Madeleine Demessieux (February 13, 1921 November 11, 1968), was a French organist, pianist, composer, and pedagogue.	Jeanne Marie-Madeleine Demessieux was a French musician born in 1921 and died in 1968. she had multiple musical talents.	0.47294117647058825
The tongue is sticky because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.	The tongue is sticky because of the presence of Mucous and Glycoprotein-Rich Mucous. These are both Lubricates movement in and out of the snout and helps to catch ants and Termites.	0.9526666666666667
In the years before his final release in 1474, when he began preparations for the reconquest of Wallachia, Vlad resided with his new wife in a house in the Hungarian capital.	In the years before his final release in 1474, when he began to prepare for the reconquest of Wallachia, Vlad lived with his new wife in a house in the Hungarian capital.	0.9293333333
The collapsed dome of the main church has been restored entirely.	The broken Cyclops of the main church has been rebuilt.	0.9553333333
